unvocalized,vocalized,root,normalized,jamid,musytaq
تلوث,تَلَوَّثَ,لوث,تلوث,0,1
تمحص,تَمَحَّصَ,محص,تمحص,0,1
تمور,تَمَوَّرَ,مور,تمور,0,1
تنمل,تَنَمَّلَ,نمل,تنمل,0,1
ترتب,تَرَتَّبَ,رتب,ترتب,0,1
تلين,تَلَيَّنَ,لين,تلين,0,1
تسول,تَسَوَّلَ,سأل,تسول,0,1
تمخض,تَمَخَّضَ,مخض,تمخض,0,1
تشجع,تَشَجَّعَ,شجع,تشجع,0,1
تميل,تَمَيَّلَ,ميل,تميل,0,1
تحدث,تَحَدَّثَ,حدث,تحدث,0,1
تحشد,تَحَشَّدَ,حشد,تحشد,0,1
تخشب,تَخَشَّبَ,خشب,تخشب,0,1
تحصن,تَحَصَّنَ,حصن,تحصن,0,1
تسمع,تَسَمَّعَ,سمع,تسمع,0,1
تحصل,تَحَصَّلَ,حصل,تحصل,0,1
تحلب,تَحَلَّبَ,حلب,تحلب,0,1
تذكر,تَذَكَّرَ,ذكر,تذكر,0,1
تفلج,تَفَلَّجَ,فلج,تفلج,0,1
تحلحل,تَحَلْحَلَ,حلحل,تحلحل,0,1
توقر,تَوَقَّرَ,وقر,توقر,0,1
تحكم,تَحَكَّمَ,حكم,تحكم,0,1
تحيز,تَحَيَّزَ,حيز,تحيز,0,1
تلفظ,تَلَفَّظَ,لفظ,تلفظ,0,1
تنضح,تَنَضَّحَ,نضح,تنضح,0,1
تلقح,تَلَقَّحَ,لقح,تلقح,0,1
تعطش,تَعَطَّشَ,عطش,تعطش,0,1
تحوز,تَحَوَّزَ,ح وز,تحوز,0,1
تحرش,تَحَرَّشَ,حرش,تحرش,0,1
تخبط,تَخَبَّطَ,خبط,تخبط,0,1
تصون,تَصَوَّنَ,صون,تصون,0,1
تحين,تَحَيَّنَ,حين,تحين,0,1
تخرج,تَخَرَّجَ,خرج,تخرج,0,1
ترفع,تَرَفَّعَ,رفع,ترفع,0,1
توسل,تَوَسَّلَ,وسل,توسل,0,1
تفكك,تَفَكَّكَ,فكك,تفكك,0,1
تطبب,تَطَبَّبَ,طبب,تطبب,0,1
تلذع,تَلَذَّعَ,لذع,تلذع,0,1
تنثر,تَنَثَّرَ,نثر,تنثر,0,1
تورم,تَوَرَّمَ,ورم,تورم,0,1
تنجع,تَنَجَّعَ,نجع,تنجع,0,1
تمخط,تَمَخَّطَ,مخط,تمخط,0,1
توقف,تَوَقَّفَ,وقف,توقف,0,1
تنفل,تَنَفَّلَ,نفل,تنفل,0,1
تنول,تَنَوَّلَ,نول,تنول,0,1
تنعت,تَنَعَّتَ,نعت,تنعت,0,1
تهشم,تَهَشَّمَ,هشم,تهشم,0,1
تنشط,تَنَشَّطَ,نشط,تنشط,0,1
تطور,تَطَوَّرَ,طور,تطور,0,1
ترهل,تَرَهَّلَ,رهل,ترهل,0,1
تنشق,تَنَشَّقَ,نشق,تنشق,0,1
تنسق,تَنَسَّقَ,نسق,تنسق,0,1
تنسم,تَنَسَّمَ,نسم,تنسم,0,1
تنشف,تَنَشَّفَ,نشف,تنشف,0,1
تطبق,تَطَبَّقَ,طبق,تطبق,0,1
تنجز,تَنَجَّزَ,نجز,تنجز,0,1
تنجس,تَنَجَّسَ,نجس,تنجس,0,1
توثب,تَوَثَّبَ,وثب,توثب,0,1
تنصت,تَنَصَّتَ,نصت,تنصت,0,1
تمسح,تَمَسَّحَ,مسح,تمسح,0,1
تقدم,تَقَدَّمَ,قدم,تقدم,0,1
تسجل,تَسَجَّلَ,سجل,تسجل,0,1
توشح,تَوَشَّحَ,وشح,توشح,0,1
تلذذ,تَلَذَّذَ,لذذ,تلذذ,0,1
تفطر,تَفَطَّرَ,فطر,تفطر,0,1
تضمن,تَضَمَّنَ,ضمن,تضمن,0,1
تزعزع,تَزَعْزَعَ,زعزع,تزعزع,0,1
توفر,تَوَفَّرَ,وفر,توفر,0,1
ترجل,تَرَجَّلَ,رجل,ترجل,0,1
تنعم,تَنَعَّمَ,نعم,تنعم,0,1
توفق,تَوَفَّقَ,وفق,توفق,0,1
تهوج,تَهَوَّجَ,هوج,تهوج,0,1
توشوش,تَوَشْوَشَ,وشوش,توشوش,0,1
تملك,تَمَلَّكَ,ملك,تملك,0,1
تبرعم,تَبَرْعَمَ,برعم,تبرعم,0,1
توعك,تَوَعَّكَ,وعك,توعك,0,1
تجذف,تَجَذَّفَ,جذف,تجذف,0,1
تهرب,تَهَرَّبَ,هرب,تهرب,0,1
تهزز,تَهَزَّزَ,هزز,تهزز,0,1
تهدهد,تَهَدْهَدَ,هدهد,تهدهد,0,1
توضح,تَوَضَّحَ,وضح,توضح,0,1
تفنن,تَفَنَّنَ,فنن,تفنن,0,1
تفسر,تَفَسَّرَ,فسر,تفسر,0,1
توسن,تَوَسَّنَ,وسن,توسن,0,1
تخشن,تَخَشَّنَ,خشن,تخشن,0,1
تيسر,تَيَسَّرَ,يسر,تيسر,0,1
تقلقل,تَقَلْقَلَ,قلقل,تقلقل,0,1
تنقب,تَنَقَّبَ,نقب,تنقب,0,1
تولج,تَوَلَّجَ,ولج,تولج,0,1
توزع,تَوَزَّعَ,وزع,توزع,0,1
تنحل,تَنَحَّلَ,نحل,تنحل,0,1
توعد,تَوَعَّدَ,وعد,توعد,0,1
تجوز,تَجَوَّزَ,جوز,تجوز,0,1
تمرن,تَمَرَّنَ,مرن,تمرن,0,1
تنبل,تَنَبَّلَ,نبل,تنبل,0,1
تنقل,تَنَقَّلَ,نقل,تنقل,0,1
تشنن,تَشَنَّنَ,شنن,تشنن,0,1
تردد,تَرَدَّدَ,ردد,تردد,0,1
تمسكن,تَمَسْكَنَ,سكن,تمسكن,0,1
تنسب,تَنَسَّبَ,نسب,تنسب,0,1
تبخر,تَبَخَّرَ,بخر,تبخر,0,1
تقزم,تَقَزَّمَ,قزم,تقزم,0,1
تهزج,تَهَزَّجَ,هزج,تهزج,0,1
ترشف,تَرَشَّفَ,رشف,ترشف,0,1
توهن,تَوَهَّنَ,وهن,توهن,0,1
تطفل,تَطَفَّلَ,طفل,تطفل,0,1
تشيطن,تَشَيْطَنَ,شيطن,تشيطن,0,1
ترصع,تَرَصَّعَ,رصع,ترصع,0,1
تملس,تَمَلَّسَ,ملس,تملس,0,1
تقسم,تَقَسَّمَ,قسم,تقسم,0,1
تسرع,تَسَرَّعَ,سرع,تسرع,0,1
تودد,تَوَدَّدَ,ودد,تودد,0,1
تلفف,تَلَفَّفَ,لفف,تلفف,0,1
تفقد,تَفَقَّدَ,فقد,تفقد,0,1
توهم,تَوَهَّمَ,وهم,توهم,0,1
توله,تَوَلَّهَ,وله,توله,0,1
تحول,تَحَوَّلَ,حول,تحول,0,1
تمطط,تَمَطَّطَ,مطط,تمطط,0,1
تقارض,تَقَارَضَ,قرض,تقارض,0,1
تشاكل,تَشَاكَلَ,شكل,تشاكل,0,1
تخابث,تَخَابَثَ,خبث,تخابث,0,1
تناهش,تَنَاهَشَ,نهش,تناهش,0,1
تحادب,تَحَادَبَ,حدب,تحادب,0,1
تجاسر,تَجَاسَرَ,جسر,تجاسر,0,1
تشاجر,تَشَاجَرَ,شجر,تشاجر,0,1
تداعب,تَدَاعَبَ,دعب,تداعب,0,1
تظافر,تَظَافَرَ,ظفر,تظافر,0,1
تزايد,تَزَايَدَ,زيد,تزايد,0,1
تساجل,تَسَاجَلَ,سجل,تساجل,0,1
تشاور,تَشَاوَرَ,شور,تشاور,0,1
تحاكم,تَحَاكَمَ,حكم,تحاكم,0,1
تعاقب,تَعَاقَبَ,عقب,تعاقب,0,1
تشايع,تَشَايَعَ,شيع,تشايع,0,1
تزاهد,تَزَاهَدَ,زهد,تزاهد,0,1
تجاوب,تَجَاوَبَ,جوب,تجاوب,0,1
تفارق,تَفَارَقَ,فرق,تفارق,0,1
تواكل,تَوَاكَلَ,وكل,تواكل,0,1
تواهب,تَوَاهَبَ,وهب,تواهب,0,1
تلاكم,تَلَاكَمَ,لكم,تلاكم,0,1
تضاجع,تَضَاجَعَ,ضجع,تضاجع,0,1
تقاطع,تَقَاطَعَ,قطع,تقاطع,0,1
توازن,تَوَازَنَ,وزن,توازن,0,1
تضاعف,تَضَاعَفَ,ضعف,تضاعف,0,1
تطارد,تَطَارَدَ,طرد,تطارد,0,1
تنابز,تَنَابَزَ,نبز,تنابز,0,1
تماجد,تَمَاجَدَ,مجد,تماجد,0,1
تهايج,تَهَايَجَ,هيج,تهايج,0,1
تصاهر,تَصَاهَرَ,صهر,تصاهر,0,1
تسارع,تَسَارَعَ,سرع,تسارع,0,1
تراحم,تَرَاحَمَ,رحم,تراحم,0,1
تبارك,تَبَارَكَ,برك,تبارك,0,1
تقادم,تَقَادَمَ,قدم,تقادم,0,1
تسالم,تَسَالَمَ,سلم,تسالم,0,1
تراوغ,تَرَاوَغَ,روغ,تراوغ,0,1
تفاقد,تَفَاقَدَ,فقد,تفاقد,0,1
تناحس,تَنَاحَسَ,نحس,تناحس,0,1
تناوم,تَنَاوَمَ,نوم,تناوم,0,1
تهاجم,تَهَاجَمَ,هجم,تهاجم,0,1
تماكس,تَمَاكَسَ,مكس,تماكس,0,1
تساير,تَسَايَرَ,سير,تساير,0,1
تباغض,تَبَاغَضَ,بغض,تباغض,0,1
تباين,تَبَايَنَ,بين,تباين,0,1
تقابل,تَقَابَلَ,قبل,تقابل,0,1
تواجد,تَوَاجَدَ,وجد,تواجد,0,1
تهامس,تَهَامَسَ,همس,تهامس,0,1
تغامس,تَغَامَسَ,غمس,تغامس,0,1
تمازح,تَمَازَحَ,مزح,تمازح,0,1
تدارك,تَدَارَكَ,درك,تدارك,0,1
تحاسد,تَحَاسَدَ,حسد,تحاسد,0,1
تباجح,تَبَاجَحَ,بجح,تباجح,0,1
تبادر,تَبَادَرَ,بدر,تبادر,0,1
تشانق,تَشَانَقَ,شنق,تشانق,0,1
تحاشد,تَحَاشَدَ,حشد,تحاشد,0,1
تتابع,تَتَابَعَ,تبع,تتابع,0,1
تخابر,تَخَابَرَ,خبر,تخابر,0,1
تداول,تَدَاوَلَ,دول,تداول,0,1
تهارم,تَهَارَمَ,هرم,تهارم,0,1
تحاقد,تَحَاقَدَ,حقد,تحاقد,0,1
تجاور,تَجَاوَرَ,جور,تجاور,0,1
تجاور,تَجَاوَرَ,جور,تجاور,0,1
تتالع,تَتَالَعَ,تلع,تتالع,0,1
تساوم,تَسَاوَمَ,سوم,تساوم,0,1
تجاذب,تَجَاذَبَ,جذب,تجاذب,0,1
تخاذل,تَخَاذَلَ,خ ذل,تخاذل,0,1
تخاصم,تَخَاصَمَ,خصم,تخاصم,0,1
تواعد,تَوَاعَدَ,وعد,تواعد,0,1
تخالط,تَخَالَطَ,خلط,تخالط,0,1
تذاكر,تَذَاكَرَ,ذكر,تذاكر,0,1
تخايل,تَخَايَلَ,خيل,تخايل,0,1
تدارس,تَدَارَسَ,درس,تدارس,0,1
تكابر,تَكَابَرَ,كبر,تكابر,0,1
ترابط,تَرَابَطَ,ربط,ترابط,0,1
تجادل,تَجَادَلَ,جدل,تجادل,0,1
تنابذ,تَنَابَذَ,نبذ,تنابذ,0,1
تعاظل,تَعَاظَلَ,عظل,تعاظل,0,1
تفاحش,تَفَاحَشَ,فحش,تفاحش,0,1
تلاكن,تَلَاكَنَ,لكن,تلاكن,0,1
تزاهر,تَزَاهَرَ,زهر,تزاهر,0,1
تراهن,تَرَاهَنَ,رهن,تراهن,0,1
تراقب,تَرَاقَبَ,رقب,تراقب,0,1
تعاند,تَعَانَدَ,عند,تعاند,0,1
تعانق,تَعَانَقَ,عنق,تعانق,0,1
تعالم,تَعَالَمَ,علم,تعالم,0,1
تصاغر,تَصَاغَرَ,صغر,تصاغر,0,1
تعاير,تَعَايَرَ,عير,تعاير,0,1
تزاحف,تَزَاحَفَ,زحف,تزاحف,0,1
تراوح,تَرَاوَحَ,روح,تراوح,0,1
تعارك,تَعَارَكَ,عرك,تعارك,0,1
تضافر,تَضَافَرَ,ضفر,تضافر,0,1
تكافل,تَكَافَلَ,كفل,تكافل,0,1
تصادم,تَصَادَمَ,صدم,تصادم,0,1
تهافت,تَهَافَتَ,هفت,تهافت,0,1
تشاغب,تَشَاغَبَ,شغب,تشاغب,0,1
تمازج,تَمَازَجَ,مزج,تمازج,0,1
تصايح,تَصَايَحَ,صيح,تصايح,0,1
تضاحك,تَضَاحَكَ,ضحك,تضاحك,0,1
تصاول,تَصَاوَلَ,صول,تصاول,0,1
تصاهل,تَصَاهَلَ,صهل,تصاهل,0,1
تشاغل,تَشَاغَلَ,شغل,تشاغل,0,1
تكاسل,تَكَاسَلَ,كسل,تكاسل,0,1
تصارع,تَصَارَعَ,صرع,تصارع,0,1
تفاصح,تَفَاصَحَ,فصح,تفاصح,0,1
تبادل,تَبَادَلَ,بدل,تبادل,0,1
تنابل,تَنَابَلَ,نبل,تنابل,0,1
تنازل,تَنَازَلَ,نزل,تنازل,0,1
تلاصق,تَلَاصَقَ,لصق,تلاصق,0,1
تلاعب,تَلَاعَبَ,لعب,تلاعب,0,1
تغاير,تَغَايَرَ,غير,تغاير,0,1
تكاثف,تَكَاثَفَ,كثف,تكاثف,0,1
تلاكز,تَلَاكَزَ,لكز,تلاكز,0,1
تحالف,تَحَالَفَ,حلف,تحالف,0,1
تشاتم,تَشَاتَمَ,شتم,تشاتم,0,1
تمارض,تَمَارَضَ,مرض,تمارض,0,1
تعاهد,تَعَاهَدَ,عهد,تعاهد,0,1
تراشق,تَرَاشَقَ,رشق,تراشق,0,1
تقاصف,تَقَاصَفَ,قصف,تقاصف,0,1
تساكب,تَسَاكَبَ,سكب,تساكب,0,1
تكايد,تَكَايَدَ,كيد,تكايد,0,1
تظاهر,تَظَاهَرَ,ظهر,تظاهر,0,1
تقاعد,تَقَاعَدَ,قعد,تقاعد,0,1
تراكم,تَرَاكَمَ,ركم,تراكم,0,1
تحاسب,تَحَاسَبَ,حسب,تحاسب,0,1
تعارض,تَعَارَضَ,عرض,تعارض,0,1
تراصد,تَرَاصَدَ,رصد,تراصد,0,1
تناعت,تَنَاعَتَ,نعت,تناعت,0,1
تزامن,تَزَامَنَ,زمن,تزامن,0,1
تفاتح,تَفَاتَحَ,فتح,تفاتح,0,1
تفاضل,تَفَاضَلَ,فضل,تفاضل,0,1
تشاكس,تَشَاكَسَ,شكس,تشاكس,0,1
تطابق,تَطَابَقَ,طبق,تطابق,0,1
تطاير,تَطَايَرَ,طير,تطاير,0,1
تحامل,تَحَامَلَ,حمل,تحامل,0,1
تراسل,تَرَاسَلَ,رسل,تراسل,0,1
تغافل,تَغَافَلَ,غفل,تغافل,0,1
تكايل,تَكَايَلَ,كيل,تكايل,0,1
تناسل,تَنَاسَلَ,نسل,تناسل,0,1
تطاعن,تَطَاعَنَ,طعن,تطاعن,0,1
تفاوه,تَفَاوَهَ,فوه,تفاوه,0,1
تصاحب,تَصَاحَبَ,صحب,تصاحب,0,1
تحادث,تَحَادَثَ,حدث,تحادث,0,1
تناصر,تَنَاصَرَ,نصر,تناصر,0,1
تمايز,تَمَايَزَ,ميز,تمايز,0,1
ترافق,تَرَافَقَ,رفق,ترافق,0,1
تباشر,تَبَاشَرَ,بشر,تباشر,0,1
تعارف,تَعَارَفَ,عرف,تعارف,0,1
تحارب,تَحَارَبَ,حرب,تحارب,0,1
تبايع,تَبَايَعَ,بيع,تبايع,0,1
تعازل,تَعَازَلَ,عزل,تعازل,0,1
تشامخ,تَشَامَخَ,شمخ,تشامخ,0,1
ترادف,تَرَادَفَ,ردف,ترادف,0,1
تشارس,تَشَارَسَ,شرس,تشارس,0,1
تعادل,تَعَادَلَ,عدل,تعادل,0,1
تعاشر,تَعَاشَرَ,عشر,تعاشر,0,1
تهامش,تَهَامَشَ,همش,تهامش,0,1
تصادق,تَصَادَقَ,صدق,تصادق,0,1
تشايخ,تَشَايَخَ,شيخ,تشايخ,0,1
تصاعب,تَصَاعَبَ,صعب,تصاعب,0,1
تصافع,تَصَافَعَ,صفع,تصافع,0,1
تصافح,تَصَافَحَ,صفح,تصافح,0,1
تخاطب,تَخَاطَبَ,خطب,تخاطب,0,1
تفاوض,تَفَاوَضَ,فوض,تفاوض,0,1
تشارط,تَشَارَطَ,شرط,تشارط,0,1
تطاوع,تَطَاوَعَ,طوع,تطاوع,0,1
تعايش,تَعَايَشَ,عيش,تعايش,0,1
تضامن,تَضَامَنَ,ضمن,تضامن,0,1
تعاقد,تَعَاقَدَ,عقد,تعاقد,0,1
تضاغن,تَضَاغَنَ,ضغن,تضاغن,0,1
تعاظم,تَعَاظَمَ,عظم,تعاظم,0,1
تواصل,تَوَاصَلَ,وصل,تواصل,0,1
تشاحن,تَشَاحَنَ,شحن,تشاحن,0,1
تعاطف,تَعَاطَفَ,عطف,تعاطف,0,1
تفاعل,تَفَاعَلَ,فعل,تفاعل,0,1
تفاقم,تَفَاقَمَ,فقم,تفاقم,0,1
تفاسخ,تَفَاسَخَ,فسخ,تفاسخ,0,1
تفاهم,تَفَاهَمَ,فهم,تفاهم,0,1
تدافع,تَدَافَعَ,دفع,تدافع,0,1
تلاوم,تَلَاوَمَ,لوم,تلاوم,0,1
تعاون,تَعَاوَنَ,عون,تعاون,0,1
تعايب,تَعَايَبَ,عيب,تعايب,0,1
تغابط,تَغَابَطَ,غبط,تغابط,0,1
تغابن,تَغَابَنَ,غبن,تغابن,0,1
تغازل,تَغَازَلَ,غزل,تغازل,0,1
تمايل,تَمَايَلَ,ميل,تمايل,0,1
تماشق,تَمَاشَقَ,مشق,تماشق,0,1
تماوت,تَمَاوَتَ,موت,تماوت,0,1
تصادف,تَصَادَفَ,صدف,تصادف,0,1
تمارس,تَمَارَسَ,مرس,تمارس,0,1
تمايد,تَمَايَدَ,ميد,تمايد,0,1
تفاضح,تَفَاضَحَ,فضح,تفاضح,0,1
تخادع,تَخَادَعَ,خدع,تخادع,0,1
تفاسح,تَفَاسَحَ,فسح,تفاسح,0,1
تلاحم,تَلَاحَمَ,لحم,تلاحم,0,1
تهارق,تَهَارَقَ,هرق,تهارق,0,1
تفاسد,تَفَاسَدَ,فسد,تفاسد,0,1
تكالب,تَكَالَبَ,كلب,تكالب,0,1
تقارع,تَقَارَعَ,قرع,تقارع,0,1
تقاسم,تَقَاسَمَ,قسم,تقاسم,0,1
تلاثم,تَلَاثَمَ,لثم,تلاثم,0,1
تلاحظ,تَلَاحَظَ,لحظ,تلاحظ,0,1
تكاشف,تَكَاشَفَ,كشف,تكاشف,0,1
تثاقل,تَثَاقَلَ,ثقل,تثاقل,0,1
تقاوم,تَقَاوَمَ,قوم,تقاوم,0,1
تقايل,تَقَايَلَ,قيل,تقايل,0,1
تقاذف,تَقَاذَفَ,قذف,تقاذف,0,1
تقارب,تَقَارَبَ,قرب,تقارب,0,1
تقارظ,تَقَارَظَ,قرظ,تقارظ,0,1
تغالط,تَغَالَطَ,غلط,تغالط,0,1
تغامز,تَغَامَزَ,غمز,تغامز,0,1
تكاثر,تَكَاثَرَ,كثر,تكاثر,0,1
تغاور,تَغَاوَرَ,غور,تغاور,0,1
تشابك,تَشَابَكَ,شبك,تشابك,0,1
تفاجر,تَفَاجَرَ,فجر,تفاجر,0,1
تكاتب,تَكَاتَبَ,كتب,تكاتب,0,1
تفاخر,تَفَاخَرَ,فخر,تفاخر,0,1
تزاحم,تَزَاحَمَ,زحم,تزاحم,0,1
تكامل,تَكَامَلَ,كمل,تكامل,0,1
تناعم,تَنَاعَمَ,نعم,تناعم,0,1
تناكح,تَنَاكَحَ,نكح,تناكح,0,1
تقاعس,تَقَاعَسَ,قعس,تقاعس,0,1
تكاتف,تَكَاتَفَ,كتف,تكاتف,0,1
تشازر,تَشَازَرَ,شزر,تشازر,0,1
تراصف,تَرَاصَفَ,رصف,تراصف,0,1
تجاهر,تَجَاهَرَ,جهر,تجاهر,0,1
تزاور,تَزَاوَرَ,زور,تزاور,0,1
تضاغط,تَضَاغَطَ,ضغط,تضاغط,0,1
تنافس,تَنَافَسَ,نفس,تنافس,0,1
تخالص,تَخَالَصَ,خلص,تخالص,0,1
تفاوت,تَفَاوَتَ,فوت,تفاوت,0,1
تحامق,تَحَامَقَ,حمق,تحامق,0,1
تجانس,تَجَانَسَ,جنس,تجانس,0,1
تحايل,تَحَايَلَ,حيل,تحايل,0,1
تجاهل,تَجَاهَلَ,جهل,تجاهل,0,1
تلاحق,تَلَاحَقَ,لحق,تلاحق,0,1
تواجه,تَوَاجَهَ,وجه,تواجه,0,1
تراكل,تَرَاكَلَ,ركل,تراكل,0,1
تكاذب,تَكَاذَبَ,كذب,تكاذب,0,1
تضايق,تَضَايَقَ,ضيق,تضايق,0,1
تضارب,تَضَارَبَ,ضرب,تضارب,0,1
تلاعن,تَلَاعَنَ,لعن,تلاعن,0,1
تحاور,تَحَاوَرَ,حور,تحاور,0,1
تسامر,تَسَامَرَ,سمر,تسامر,0,1
تماسك,تَمَاسَكَ,مسك,تماسك,0,1
تهارش,تَهَارَشَ,هرش,تهارش,0,1
تسايف,تَسَايَفَ,سيف,تسايف,0,1
تصاعد,تَصَاعَدَ,صعد,تصاعد,0,1
تخاطر,تَخَاطَرَ,خطر,تخاطر,0,1
تناتف,تَنَاتَفَ,نتف,تناتف,0,1
تلاطف,تَلَاطَفَ,لطف,تلاطف,0,1
تقالد,تَقَالَدَ,قلد,تقالد,0,1
تراكض,تَرَاكَضَ,ركض,تراكض,0,1
تماكر,تَمَاكَرَ,مكر,تماكر,0,1
تناثر,تَنَاثَرَ,نثر,تناثر,0,1
تماثل,تَمَاثَلَ,مثل,تماثل,0,1
تكاره,تَكَارَهَ,كره,تكاره,0,1
تناقض,تَنَاقَضَ,نقض,تناقض,0,1
تصارخ,تَصَارَخَ,صرخ,تصارخ,0,1
تكافح,تَكَافَحَ,كفح,تكافح,0,1
تسايل,تَسَايَلَ,سيل,تسايل,0,1
تشارك,تَشَارَكَ,شرك,تشارك,0,1
تناظم,تَنَاظَمَ,نظم,تناظم,0,1
تجالس,تَجَالَسَ,جلس,تجالس,0,1
تجانب,تَجَانَبَ,جنب,تجانب,0,1
تشابه,تَشَابَهَ,شبه,تشابه,0,1
تهالك,تَهَالَكَ,هلك,تهالك,0,1
تبارز,تَبَارَزَ,برز,تبارز,0,1
تقامر,تَقَامَرَ,قمر,تقامر,0,1
تطارح,تَطَارَحَ,طرح,تطارح,0,1
توافر,تَوَافَرَ,وفر,توافر,0,1
تناحر,تَنَاحَرَ,نحر,تناحر,0,1
تناقل,تَنَاقَلَ,نقل,تناقل,0,1
تناكر,تَنَاكَرَ,نكر,تناكر,0,1
تهارب,تَهَارَبَ,هرب,تهارب,0,1
تناسخ,تَنَاسَخَ,نسخ,تناسخ,0,1
تناسق,تَنَاسَقَ,نسق,تناسق,0,1
تناول,تَنَاوَلَ,نول,تناول,0,1
تهاتر,تَهَاتَرَ,هتر,تهاتر,0,1
تواضع,تَوَاضَعَ,وضع,تواضع,0,1
توافد,تَوَافَدَ,وفد,توافد,0,1
تساكن,تَسَاكَنَ,سكن,تساكن,0,1
تناهد,تَنَاهَدَ,نهد,تناهد,0,1
تراجع,تَرَاجَعَ,رجع,تراجع,0,1
تمالك,تَمَالَكَ,ملك,تمالك,0,1
توادع,تَوَادَعَ,ودع,توادع,0,1
تناهض,تَنَاهَضَ,نهض,تناهض,0,1
تناوب,تَنَاوَبَ,نوب,تناوب,0,1
تقاول,تَقَاوَلَ,قول,تقاول,0,1
تباحث,تَبَاحَثَ,بحث,تباحث,0,1
تداخل,تَدَاخَلَ,دخل,تداخل,0,1
توالد,تَوَالَدَ,ولد,توالد,0,1
تسامح,تَسَامَحَ,سمح,تسامح,0,1
تهاون,تَهَاوَنَ,هون,تهاون,0,1
تيامن,تَيَامَنَ,يمن,تيامن,0,1
توافق,تَوَافَقَ,وفق,توافق,0,1
تواقف,تَوَاقَفَ,وقف,تواقف,0,1
تناشد,تَنَاشَدَ,نشد,تناشد,0,1
تناعس,تَنَاعَسَ,نعس,تناعس,0,1
تواثب,تَوَاثَبَ,وثب,تواثب,0,1
تعالج,تَعَالَجَ,علج,تعالج,0,1
تطاول,تَطَاوَلَ,طول,تطاول,0,1
توارد,تَوَارَدَ,ورد,توارد,0,1
تكاتم,تَكَاتَمَ,كتم,تكاتم,0,1
تهارت,تَهَارَتَ,هرت,تهارت,0,1
تلاطم,تَلَاطَمَ,لطم,تلاطم,0,1
تنادم,تَنَادَمَ,ندم,تنادم,0,1
تهاطل,تَهَاطَلَ,هطل,تهاطل,0,1
تناطح,تَنَاطَحَ,نطح,تناطح,0,1
تياسر,تَيَاسَرَ,يسر,تياسر,0,1
تنازع,تَنَازَعَ,نزع,تنازع,0,1
تراغب,تَرَاغَبَ,رغب,تراغب,0,1
تناصب,تَنَاصَبَ,نصب,تناصب,0,1
تناسب,تَنَاسَبَ,نسب,تناسب,0,1
تناهب,تَنَاهَبَ,نهب,تناهب,0,1
تجاوز,تَجَاوَزَ,جوز,تجاوز,0,1
تناظر,تَنَاظَرَ,نظر,تناظر,0,1
تعامل,تَعَامَلَ,عمل,تعامل,0,1
تسافد,تَسَافَدَ,سفد,تسافد,0,1
تغايب,تَغَايَبَ,غيب,تغايب,0,1
تعاضد,تَعَاضَدَ,عضد,تعاضد,0,1
تصاخب,تَصَاخَبَ,صخب,تصاخب,0,1
تغامض,تَغَامَضَ,غمض,تغامض,0,1
تهاجر,تَهَاجَرَ,هجر,تهاجر,0,1
تقارص,تَقَارَصَ,قرص,تقارص,0,1
تزاوج,تَزَاوَجَ,زوج,تزاوج,0,1
تهادن,تَهَادَنَ,هدن,تهادن,0,1
تقارن,تَقَارَنَ,قرن,تقارن,0,1
تواصف,تَوَاصَفَ,وصف,تواصف,0,1
تنافر,تَنَافَرَ,نفر,تنافر,0,1
تفاكه,تَفَاكَهَ,فكه,تفاكه,0,1
تواتر,تَوَاتَرَ,وتر,تواتر,0,1
تناقص,تَنَاقَصَ,نقص,تناقص,0,1
تباعد,تَبَاعَدَ,بعد,تباعد,0,1
تعاور,تَعَاوَرَ,عور,تعاور,0,1
تصالح,تَصَالَحَ,صلح,تصالح,0,1
تراقص,تَرَاقَصَ,رقص,تراقص,0,1
ترافع,تَرَافَعَ,رفع,ترافع,0,1
تساهل,تَسَاهَلَ,سهل,تساهل,0,1
تقافز,تَقَافَزَ,قفز,تقافز,0,1
تناصف,تَنَاصَفَ,نصف,تناصف,0,1
توارث,تَوَارَثَ,ورث,توارث,0,1
تناضل,تَنَاضَلَ,نضل,تناضل,0,1
تخالف,تَخَالَفَ,خلف,تخالف,0,1
تقاتل,تَقَاتَلَ,قتل,تقاتل,0,1
تسامع,تَسَامَعَ,سمع,تسامع,0,1
تقاطر,تَقَاطَرَ,قطر,تقاطر,0,1
تساقط,تَسَاقَطَ,سقط,تساقط,0,1
تواقح,تَوَاقَحَ,وقح,تواقح,0,1
تقايض,تَقَايَضَ,قيض,تقايض,0,1
تداين,تَدَايَنَ,دين,تداين,0,1
تسابق,تَسَابَقَ,سبق,تسابق,0,1
تخاتل,تَخَاتَلَ,ختل,تخاتل,0,1
ادارك,اِدَّارَكَ,درك,ادارك,0,1
افتعل,اِفْتَعَلَ,فعل,افتعل,0,1
انخنث,اِنْخَنَثَ,خنث,انخنث,0,1
اختنق,اِخْتَنَقَ,خنق,اختنق,0,1
استسخر,اِسْتَسْخَرَ,سخر,استسخر,0,1
اشتهر,اِشْتَهَرَ,شهر,اشتهر,0,1
احتقن,اِحْتَقَنَ,حقن,احتقن,0,1
انسلت,اِنْسَلَتَ,سلت,انسلت,0,1
ارتبك,اِرْتَبَكَ,ربك,ارتبك,0,1
التمس,اِلْتَمَسَ,لمس,التمس,0,1
اندحر,اِنْدَحَرَ,دحر,اندحر,0,1
