unvocalized,vocalized,jamid
ألج,أَلَجَّ,0
أكل,أَكَلَّ,0
أمد,أَمَدَّ,0
أحث,أَحَثَّ,0
أفج,أَفَجَّ,0
أنق,أَنَقَّ,0
أبر,أَبَرَّ,0
أكم,أَكَمَّ,0
ألح,أَلَحَّ,0
أغن,أَغَنَّ,0
أهل,أَهَلَّ,0
أشع,أَشَعَّ,0
أمل,أَمَلَّ,0
أمن,أَمَنَّ,0
أهر,أَهَرَّ,0
أكب,أَكَبَّ,0
أنض,أَنَضَّ,0
أعن,أَعَنَّ,0
ألب,أَلَبَّ,0
أعز,أَعَزَّ,0
أكن,أَكَنَّ,0
أهب,أَهَبَّ,0
أفل,أَفَلَّ,0
ألد,أَلَدَّ,0
أغم,أَغَمَّ,0
أصر,أَصَرَّ,0
أحق,أَحَقَّ,0
أغل,أَغَلَّ,0
أخف,أَخَفَّ,0
أحل,أَحَلَّ,0
أحب,أَحَبَّ,0
أمص,أَمَصَّ,0
أزم,أَزَمَّ,0
أمر,أَمَرَّ,0
ألم,أَلَمَّ,0
تصاف,تَصَافَّ,0
تشاح,تَشَاحَّ,0
تساب,تَسَابَّ,0
تحات,تَحَاتَّ,0
تحاج,تَحَاجَّ,0
تحاك,تَحَاكَّ,0
تناد,تَنَادَّ,0
تواد,تَوَادَّ,0
تضاد,تَضَادَّ,0
تناص,تَنَاصَّ,0
تضام,تَضَامَّ,0
تهاد,تَهَادَّ,0
تراص,تَرَاصَّ,0
تشاد,تَشَادَّ,0
تلاذ,تَلَاذَّ,0
تعاض,تَعَاضَّ,0
انقاض,اِنْقَاضَّ,0
تحاب,تَحَابَّ,0
تماس,تَمَاسَّ,0
تحاث,تَحَاثَّ,0
تسار,تَسَارَّ,0
أسن,أَسِنَ,0
أكل,أَكِلَ,0
أله,أَلَهَ,0
أجم,أَجِمَ,0
أبه,أَبَهَ,0
أجم,أَجَمَ,0
أهل,أَهِلَ,0
أخذ,أَخَذَ,0
أدب,أَدَبَ,0
أمن,أَمِنَ,0
ألف,أَلَفَ,0
ألب,أَلَبَ,0
أرق,أَرِقَ,0
أذن,أَذِنَ,0
أثم,أَثِمَ,0
أجم,أَجَمَ,0
أسر,أَسَرَ,0
أفق,أَفِقَ,0
أزف,أَزِفَ,0
أمر,أَمَرَ,0
أفك,أَفَكَ,0
أنض,أَنَضَ,0
أزر,أَزَرَ,0
أفك,أَفِكَ,0
أطر,أَطَرَ,0
أله,أَلِهَ,0
أسف,أَسِفَ,0
أله,أَلَهَ,0
ألق,أَلِقَ,0
أفل,أَفِلَ,0
أنف,أَنِفَ,0
أجن,أَجِنَ,0
ألف,أَلِفَ,0
أوب,أَوِبَ,0
أرج,أَرِجَ,0
أنق,أَنِقَ,0
أيس,أَيِسَ,0
ألم,أَلِمَ,0
أود,أَوِدَ,0
أنس,أَنَسَ,0
أنس,أَنِسَ,0
أثر,أَثَرَ,0
ألق,أَلَقَ,0
أفق,أَفَقَ,0
أرب,أَرِبَ,0
أكر,أَكَرَ,0
أخذ,أَخَذَ,0
أمن,أَمُنَ,0
أجر,أَجَرَ,0
أثر,أَثَرَ,0
ألب,أَلَبَ,0
أمل,أَمَلَ,0
أنث,أَنُثَ,0
أنف,أَنَفَ,0
أزر,أَزَرَ,0
أكل,أَكَلَ,0
أصل,أَصُلَ,0
أجر,أَجَرَ,0
أفل,أَفَلَ,0
أجن,أَجَنَ,0
أهل,أَهَلَ,0
أمر,أَمَرَ,0
أكل,أَكَلَ,0
أنض,أَنُضَ,0
أنس,أَنُسَ,0
أدب,أَدُبَ,0
أطر,أَطَرَ,0
أخذ,أَخَذَ,0
أهل,أَهَلَ,0
أرق,أَرَّقَ,0
أله,أَلَّهَ,0
أحد,أَحَّدَ,0
أكد,أَكَّدَ,0
أجل,أَجَّلَ,0
أطر,أَطَّرَ,0
أرخ,أَرَّخَ,0
أرض,أَرَّضَ,0
أسس,أَسَّسَ,1
أثث,أََثَّثَ,0
أثف,أَثَّفَ,0
أخذ,أَخَّذَ,0
أفف,أَفَّفَ,0
أجر,أَجَّرَ,0
أثر,أَثَّرَ,0
أول,أَوَّلَ,0
أذن,أَذَّنَ,0
أكل,أَكَّلَ,0
أيس,أَيَّسَ,0
ألب,أَلَّبَ,0
أيد,أَيَّدَ,1
أهل,أَهَّلَ,0
أشر,أَشَّرَ,0
أمم,أَمَّمَ,1
أمل,أَمَّلَ,0
ألف,أَلَّفَ,0
أيم,أَيَّمَ,1
أوب,أَوَّبَ,0
أنق,أَنَّقَ,0
أمر,أَمَّرَ,0
أمن,أَمَّنَ,0
أنب,أَنَّبَ,0
أنث,أَنَّثَ,0
ألم,أَلَّمَ,0
أنس,أَنَّسَ,0
أصل,أَصَّلَ,0
أهب,أَهَّبَ,0
تأوه,تَأَوَّهَ,0
أود,أَوَّدَ,0
أخر,أَخَّرَ,0
أدب,أَدَّبَ,0
أصد,أَصَّدَ,0
أجج,أَجَّجَ,0
آجر,آجَرَ,1
آمر,آمَرَ,0
آثم,آثَمَ,0
آكل,آكَلَ,0
آخذ,آخَذَ,0
آدب,آدَبَ,0
آزر,آزَرَ,0
آنس,آنَسَ,0
آنق,آنَقَ,0
آكل,آكَلَ,0
عثر,عَثَرَ,0
آخذ,آخَذَ,0
آذن,آذَنَ,0
آرق,آرَقَ,0
آكل,آكَلَ,0
آكد,آكَدَ,0
آكل,آكَلَ,0
آجر,آجَرَ,1
آنف,آنَفَ,0
آثر,آثَرَ,0
آمن,آمَنَ,0
آنض,آنَضَ,0
آنث,آنَثَ,0
آلف,آلَفَ,0
آنس,آنَسَ,0
آزف,آزَفَ,0
آلم,آلَمَ,0
آلف,آلَفَ,0
تأله,تَأَلَّهَ,0
تأسف,تَأَسَّفَ,0
تأمل,تَأَمَّلَ,0
تأيد,تَأَيَّدَ,0
تأخر,تَأَخَّرَ,0
تأزم,تَأَزَّمَ,0
تأفف,تَأَفَّفَ,0
تألف,تَأَلَّفَ,0
تأدب,تَأَدَّبَ,0
تأبط,تَأَبَّطَ,0
تأثر,تَأَثَّرَ,0
تألق,تَأَلَّقَ,0
تأمر,تَأَمَّرَ,0
تأجل,تَأَجَّلَ,0
تأثث,تَأَثَّثَ,0
تأكد,تَأَكَّدَ,0
تأكل,تَأَكَّلَ,0
تأنث,تَأَنَّثَ,0
تأهب,تَأَهَّبَ,0
تأجج,تَأَجَّجَ,0
تأسس,تَأَسَّسَ,0
تأنق,تَأَنَّقَ,0
تألم,تَأَلَّمَ,0
تألب,تَأَلَّبَ,0
تأسد,تَأَسَّدَ,0
تأبد,تَأَبَّدَ,0
تأنس,تَأَنَّسَ,0
تأهل,تَأَهَّلَ,0
تآكل,تَآكَلَ,0
تآزر,تَآزَرَ,0
تآمر,تَآمَرَ,0
تآلف,تَآلَفَ,0
تآنس,تَآنَسَ,0
استأذن,اِسْتَأْذَنَ,0
استأنس,اِسْتَأْنَسَ,0
استأصل,اِسْتَأْصَلَ,0
استأسد,اِسْتَأْسَدَ,0
استأجر,اِسْتَأْجَرَ,0
استأنف,اِسْتَأْنَفَ,0
استألف,اِسْتَأْلَفَ,0
استأهل,اِسْتَأْهَلَ,0
استأثر,اِسْتَأْثَرَ,0
ائتكل,اِئْتَكَلَ,0
ائتثر,اِئْتَثَرَ,0
ائتزر,اِئْتَزَرَ,0
ائتلق,اِئْتَلَقَ,0
ائتمن,اِئْتَمَنَ,0
ائتلف,اِئْتَلَفَ,0
ائتمر,اِئْتَمَرَ,0
سأل,سَأَلَ,0
يئس,يَئِسَ,0
دأب,دَأَبَ,0
لأم,لَأَمَ,1
جأش,جَأَشَ,0
رأب,رَأَبَ,0
جأر,جَأَرَ,0
رئس,رَئِسَ,0
ذأف,ذَأَفَ,0
رأس,رَأَسَ,1
ثأر,ثَأَرَ,0
ذئب,ذَئِبَ,1
ذأب,ذَأَبَ,0
رئف,رَئِفَ,0
ذأم,ذَأَمَ,0
دأب,دَأَبَ,0
كئب,كَئِبَ,0
زأر,زَأَرَ,0
زئر,زَئِرَ,0
دأم,دَأَمَ,0
ثئب,ثَئِبَ,0
سئم,سَئِمَ,0
دأل,دَأَلَ,0
تأر,تَأَرَ,0
شأم,شَأَمَ,0
رأس,رَأَسَ,1
رأف,رَأَفَ,0
زأم,زَأَمَ,0
بئس,بَئِسَ,1
لؤم,لَؤُمَ,0
رؤف,رَؤُفَ,0
ضؤل,ضَؤُلَ,0
يأس,يَأَّسَ,1
رأس,رَأَّسَ,1
طمأن,طَمْأَنَ,0
شاءم,شَاءَمَ,0
واءم,وَاءَمَ,0
ضاءل,ضَاءَلَ,0
تاءم,تَاءَمَ,0
لاءم,لَاءَمَ,0
ساءل,سَاءَلَ,0
ألأم,أَلْأَمَ,0
أذأب,أَذْأَبَ,0
أدأب,أَدْأَبَ,0
ترأف,تَرَأَّفَ,0
ترأم,تَرَأَّمَ,0
ترأس,تَرَأَّسَ,0
تساءل,تَسَاءَلَ,0
تلاءم,تَلَاءَمَ,0
تفاءل,تَفَاءَلَ,0
تضاءل,تَضَاءَلَ,0
تذاءب,تَذَاءَبَ,0
تواءم,تَوَاءَمَ,0
تثاءب,تَثَاءَبَ,0
تشاءم,تَشَاءَمَ,0
ارتأس,اِرْتَأَسَ,0
استرأف,اِسْتَرْأَفَ,0
استيأس,اِسْتَيْأَسَ,0
اكتأب,اِكْتَأَبَ,0
ابتأس,اِبْتَأَسَ,0
التأم,اِلْتَأَمَ,0
نجأ,نَجَأَ,0
نبأ,نَبَأَ,1
كمأ,كَمَأَ,0
هنأ,هَنَأَ,0
نزأ,نَزَأَ,0
فجأ,فَجَأَ,0
حطأ,حَطَأَ,0
رشأ,رَشَأَ,1
صبأ,صَبَأَ,0
صدأ,صَدَأَ,0
طرأ,طَرَأَ,0
هرأ,هَرَأَ,0
كفأ,كَفَأَ,0
جزأ,جَزَأَ,0
هرأ,هَرَأَ,0
فقأ,فَقَأَ,0
هجأ,هَجَأَ,0
رفأ,رَفَأَ,0
كلأ,كَلَأَ,1
خبأ,خَبَأَ,0
درأ,دَرَأَ,0
دنأ,دَنَأَ,0
قرأ,قَرَأَ,0
كلأ,كَلَأَ,1
ذرأ,ذَرَأَ,0
نسأ,نَسَأَ,0
بذأ,بَذَأَ,0
نكأ,نَكَأَ,0
همأ,هَمَأَ,0
نشأ,نَشَأَ,0
لطأ,لَطَأَ,0
مرأ,مَرَأَ,0
شنأ,شَنَأَ,0
نتأ,نَتَأَ,0
هزأ,هَزَأَ,0
هنأ,هَنَأَ,0
نزأ,نَزَأَ,0
جشأ,جَشَأَ,0
ملأ,مَلَأَ,1
بدأ,بَدَأَ,0
برأ,بَرَأَ,0
لمأ,لَمَأَ,0
عبأ,عَبَأَ,0
لكأ,لَكَأَ,0
هدأ,هَدَأَ,0
ربأ,رَبَأَ,0
هزأ,هَزَأَ,0
رزأ,رَزَأَ,0
لجأ,لَجَأَ,0
خسأ,خَسَأَ,0
كمئ,كَمِئَ,0
برئ,بَرِئَ,0
ظمئ,ظَمِئَ,0
بذئ,بَذِئَ,0
لكئ,لَكِئَ,0
طفئ,طَفِئَ,0
برئ,بَرِئَ,0
دفئ,دَفِئَ,0
صدئ,صَدِئَ,0
هوئ,هَوِئَ,0
خطئ,خَطِئَ,0
هجئ,هَجِئَ,0
هنئ,هَنِئَ,0
هدئ,هَدِئَ,0
لطئ,لَطِئَ,0
كلئ,كَلِئَ,0
مرئ,مَرِئَ,0
هرئ,هَرِئَ,0
هزئ,هَزِئَ,0
هيئ,هَيِئَ,0
تكئ,تَكِئَ,0
برأ,بَرَّأَ,0
رفأ,رَفَّأَ,0
وطأ,وَطَّأَ,0
جزأ,جَزَّأَ,0
بوأ,بَوَّأَ,0
ظمأ,ظَمَّأَ,0
خبأ,خَبَّأَ,0
فيأ,فَيَّأَ,0
هرأ,هَرَّأَ,0
عبأ,عَبَّأَ,0
نبأ,نَبَّأَ,1
وضأ,وَضَّأَ,0
ضوأ,ضَوَّأَ,0
نشأ,نَشَّأَ,0
قيأ,قَيَّأَ,0
شيأ,شَيَّأَ,0
هيأ,هَيَّأَ,0
بطأ,بَطَّأَ,0
هنأ,هَنَّأَ,0
كلأ,كَلَّأَ,1
مرأ,مَرَّأَ,0
لجأ,لَجَّأَ,0
جشأ,جَشَّأَ,0
خطأ,خَطَّأَ,1
جرأ,جَرَّأَ,0
دفأ,دَفَّأَ,0
هدأ,هَدَّأَ,0
ومأ,وَمَّأَ,0
دارأ,دَارَأَ,0
فاجأ,فَاجَأَ,0
كافأ,كَافَأَ,0
بادأ,بَادَأَ,0
قارأ,قَارَأَ,0
مالأ,مَالَأَ,0
واكأ,وَاكَأَ,0
باطأ,بَاطَأَ,0
واضأ,وَاضَأَ,0
واطأ,وَاطَأَ,0
أدفأ,أَدْفَأَ,0
أطفأ,أَطْفَأَ,0
أخطأ,أَخْطَأَ,0
أهدأ,أَهْدَأَ,0
أبرأ,أَبْرَأَ,0
أبطأ,أَبْطَأَ,0
أدنأ,أَدْنَأَ,0
أوطأ,أَوْطَأَ,0
أظمأ,أَظْمَأَ,0
أقرأ,أَقْرَأَ,0
أصدأ,أَصْدَأَ,0
أهرأ,أَهْرَأَ,0
أهمأ,أَهْمَأَ,0
أكمأ,أَكْمَأَ,0
أنوأ,أَنْوَأَ,0
أنبأ,أَنْبَأَ,1
أنشأ,أَنْشَأَ,0
أردأ,أَرْدَأَ,0
أبذأ,أَبْذَأَ,0
أومأ,أَوْمَأَ,0
أكفأ,أَكْفَأَ,0
أتكأ,أَتْكَأَ,0
أوبأ,أَوْبَأَ,0
أكلأ,أَكْلَأَ,0
ألجأ,أَلْجَأَ,0
أرجأ,أَرْجَأَ,0
تهنأ,تَهَنَّأَ,0
تضوأ,تَضَوَّأَ,0
تفيأ,تَفَيَّأَ,0
توكأ,تَوَكَّأَ,0
تجشأ,تَجَشَّأَ,0
توطأ,تَوَطَّأَ,0
تفقأ,تَفَقَّأَ,0
توضأ,تَوَضَّأ,0
تبطأ,تَبَطَّأَ,0
تملأ,تَمَلَّأَ,0
تدنأ,تَدَنَّأَ,0
تلكأ,تَلَكَّأَ,0
تخطأ,تَخَطَّأَ,0
تخبأ,تَخَبَّأَ,0
تدفأ,تَدَفَّأَ,0
تقيأ,تَقَيَّأَ,0
تهرأ,تَهَرَّأَ,0
تمرأ,تَمَرَّأَ,0
تبرأ,تَبَرَّأَ,0
تنشأ,تَنَشَّأَ,0
تنبأ,تَنَبَّأَ,0
تكمأ,تَكَمَّأَ,0
تبوأ,تَبَوَّأَ,0
تجرأ,تَجَرَّأَ,0
تهيأ,تَهَيَّأَ,0
تهزأ,تَهَزَّأَ,0
تجزأ,تَجَزَّأَ,0
تباطأ,تَبَاطَأَ,0
تكافأ,تَكَافَأَ,0
تواطأ,تَوَاطَأَ,0
تخاطأ,تَخَاطَأَ,0
ادارأ,اِدَّارَأَ,0
انطفأ,اِنْطَفَأَ,0
اختبأ,اِخْتَبَأَ,0
اجتشأ,اِجْتَشَأَ,0
اتكأ,اِتَّكَأَ,0
استبطأ,اسْتَبْطَأَ,0
اجترأ,اِجْتَرَأَ,0
استمرأ,اِسْتَمْرَأَ,0
استقرأ,اِسْتَقْرَأَ,0
استدفأ,اِسْتَدْفَأَ,0
انفقأ,اِنْفَقَأَ,0
استهزأ,اِسْتَهْزَأَ,0
ابتدأ,اِبْتَدَأَ,0
امتلأ,اِمْتَلَأَ,0
التجأ,اِلْتَجَأَ,0
انكفأ,اِنْكَفَأَ,0
وحل,وَحَلَ,0
وصم,وَصَمَ,0
ولق,وَلَقَ,0
وصد,وَصَدَ,0
وحن,وَحَنَ,0
وهف,وَهَفَ,0
وجف,وَجَفَ,0
ودج,وَدَجَ,0
وثب,وَثَبَ,0
وشق,وَشَقَ,0
وضع,وَضَعَ,0
وقف,وَقَفَ,0
وجه,وَجَهَ,0
ودف,وَدَفَ,1
وزف,وَزَفَ,0
وجر,وَجَرَ,0
وغل,وَغَلَ,0
وجم,وَجَمَ,0
وجب,وَجَبَ,0
وسط,وَسَطَ,0
ورع,وَرَعَ,0
وسن,وَسِنَ,0
وحد,وَحَدَ,0
وصل,وَصَلَ,0
وسع,وَسَعَ,0
وثن,وَثَنَ,1
وهج,وَهَجَ,0
وجب,وَجَبَ,0
وسخ,وَسِخَ,0
وله,وَلَهَ,0
وسق,وَسَقَ,0
وزر,وَزَرَ,0
ورط,وَرَطَ,0
ورف,وَرَفَ,0
ودق,وَدَقَ,0
وخم,وَخَمَ,0
وسط,وَسَطَ,0
وصب,وَصَبَ,0
وعر,وَعَرَ,0
ودن,وَدَنَ,0
وسم,وَسَمَ,0
وزع,وَزَعَ,0
ورك,وَرَكَ,0
ورع,وَرَعَ,0
وكر,وَكَرَ,0
وشم,وَشَمَ,0
وكن,وَكَنَ,0
وكد,وَكَدَ,0
وسع,وَسِعَ,0
وصل,وَصَلَ,0
وخط,وَخَطَ,0
وهن,وَهَنَ,0
وجس,وَجَسَ,0
وتن,وَتَنَ,0
وقر,وَقَرَ,0
وزن,وَزَنَ,0
وسق,وَسَقَ,0
وثف,وَثَفَ,0
وهل,وَهَلَ,0
وثر,وَثَرَ,0
وهل,وَهِلَ,0
ورق,وَرَقَ,0
وجد,وَجَدَ,0
وغر,وَغَرَ,0
وزغ,وَزَغَ,1
وسط,وَسَطَ,0
وقر,وَقَرَ,0
وظب,وَظَبَ,0
وعق,وَعَقَ,0
وكد,وَكَدَ,0
وثل,وَثَلَ,0
ولع,وَلَعَ,0
وقب,وَقَبَ,0
وذر,وَذَرَ,0
وضع,وَضَعَ,0
وجز,وَجَزَ,0
وطن,وَطَنَ,1
وبر,وَبَرَ,0
وده,وَدَهَ,0
وشر,وَشَرَ,0
ولغ,وَلَغَ,0
وخف,وَخَفَ,0
وجد,وَجَدَ,0
ولع,وَلَعَ,0
وقف,وَقَفَ,0
وتد,وَتَدَ,0
ومق,وَمَقَ,0
وكب,وَكَبَ,0
ودع,وَدَعَ,0
ورك,وَرَكَ,0
وفر,وَفَرَ,0
وغد,وَغَدَ,1
ولب,وَلَبَ,0
وبق,وَبِقَ,0
وعد,وَعَدَ,0
ولف,وَلَفَ,0
وقح,وَقَحَ,0
ورد,وَرَدَ,0
وعز,وَعَزَ,0
وضع,وَضَعَ,0
وقد,وَقَدَ,0
وعد,وَعَدَ,0
ورش,وَرَشَ,0
وخز,وَخَزَ,0
وهب,وَهَبَ,0
ورس,وَرَسَ,0
وظب,وَظَبَ,0
ولد,وَلَدَ,0
وضح,وَضَحَ,0
وعب,وَعَبَ,0
وهم,وَهَمَ,0
وهف,وَهَفَ,0
وقع,وَقَعَ,0
وقت,وَقَتَ,0
وفد,وَفَدَ,0
وطد,وَطَدَ,0
وبل,وَبَلَ,0
وشج,وَشَجَ,0
وقع,وَقَعَ,0
وكل,وَكَلَ,0
وكف,وَكَفَ,0
وفض,وَفَضَ,0
وقر,وَقَرَ,0
وظف,وَظَفَ,0
وسل,وَسَلَ,0
وحش,وَحَشَ,0
وعك,وَعَكَ,0
ودن,وَدَنَ,0
وقع,وَقَعَ,0
وصف,وَصَفَ,0
وكر,وَكَرَ,0
وبق,وَبَقَ,0
وتن,وَتَنَ,0
وجد,وَجَدَ,0
وزر,وَزَرَ,0
وجد,وَجَدَ,0
ومض,وَمَضَ,0
وجب,وَجَبَ,0
ولج,وَلَجَ,0
وجن,وَجَنَ,1
وحف,وَحَفَ,0
وثق,وَثِقَ,1
وتر,وَتَرَ,0
وعظ,وَعَظَ,0
وزف,وَزَفَ,0
ودن,وَدِنَ,0
وذم,وَذِمَ,0
وبه,وَبِهَ,0
ودق,وَدِقَ,0
وذر,وَذِرَ,0
وقر,وَقِرَ,0
وعق,وَعِقَ,0
وحش,وَحِشَ,0
وحم,وَحِمَ,0
تخم,تَخِمَ,0
وره,وَرِهَ,0
ورب,وَرِبَ,0
وبد,وَبِدَ,0
وبر,وَبِرَ,0
وقح,وَقِحَ,0
وجع,وَجِعَ,0
وبق,وَبِقَ,0
ودك,وَدِكَ,0
ورس,وَرِسَ,0
وحر,وَحِرَ,0
ومد,وَمِدَ,0
وهم,وَهِمَ,0
وحن,وَحِنَ,0
وفق,وَفِقَ,0
ورث,وَرِثَ,0
وجل,وَجِلَ,0
ورع,وَرِعَ,0
وحف,وَحِفَ,0
ولع,وَلِعَ,0
وعث,وَعِثَ,0
ورش,وَرِشَ,0
وجر,وَجِرَ,0
وحل,وَحِلَ,0
وله,وَلِهَ,0
وكف,وَكِفَ,0
وشق,وَشِقَ,0
وغر,وَغِرَ,0
وصب,وَصِبَ,0
وعر,وَعِرَ,0
وره,وَرِهَ,0
وضح,وَضِحَ,0
وقع,وَقِعَ,0
ورك,وَرِكَ,0
وخم,وَخِمَ,0
وبش,وَبِشَ,0
وكب,وَكِبَ,0
وضع,وَضِعَ,0
ورم,وَرِمَ,0
ايراق,اِيراقَّ,0
يمن,يَمُنَ,0
يقظ,يَقُظَ,0
يتم,يَتُمَ,0
يسر,يَسُرَ,0
أيتم,أَيْتَمَ,0
أيسر,أَيْسَرَ,0
أيفع,أَيْفَعَ,0
أينع,أَيْنَعَ,0
أيقظ,أَيْقَظَ,0
أيبس,أَيْبَسَ,0
أيقن,أَيْقَنَ,0
أيمن,أَيْمَنَ,0
باخ,بَاخَ,0
شاط,شَاطَ,0
حاج,حَاجَ,1
داك,دَاكَ,0
حاق,حَاقَ,0
حاط,حَاطَ,0
حاض,حَاضَ,0
نال,نَالَ,0
حاد,حَادَ,1
حاش,حَاشَ,0
حام,حَامَ,0
ثاب,ثَابَ,0
جاب,جَابَ,0
حال,حَالَ,1
تاق,تَاقَ,0
جاش,جَاشَ,0
جاد,جَادَ,0
خال,خَالَ,0
ذاب,ذَابَ,0
راح,رَاحَ,0
خال,خَالَ,0
عاص,عَاصَ,0
دار,دَارَ,1
داس,دَاسَ,0
خار,خَارَ,0
قات,قَاتَ,1
داح,دَاحَ,0
نار,نَارَ,1
طاع,طَاعَ,0
دام,دَامَ,0
صاع,صَاعَ,1
لاث,لَاثَ,0
قال,قَالَ,0
راق,رَاقَ,0
سار,سَارَ,0
زاح,زَاحَ,0
راد,رَادَ,0
جاز,جَازَ,1
حاف,حَافَ,0
بار,بَارَ,0
ماق,مَاقَ,0
راض,رَاضَ,0
زاد,زَادَ,1
زار,زَارَ,0
دال,دَالَ,1
راز,رَازَ,0
زال,زَالَ,0
ساخ,سَاخَ,0
ساس,سَاسَ,0
كار,كَارَ,0
صاف,صَافَ,0
فات,فَاتَ,0
راق,رَاقَ,0
راد,رَادَ,0
عاف,عَافَ,0
ساع,سَاعَ,0
شاه,شَاهَ,1
فاح,فَاحَ,0
عاج,عَاجَ,1
فاق,فَاقَ,0
ساط,سَاطَ,0
ناب,نَابَ,0
ران,رَانَ,0
هان,هَانَ,0
طاس,طَاسَ,1
حات,حَاتَ,0
حاز,حَازَ,0
دان,دَانَ,0
خان,خَانَ,1
جاس,جَاسَ,0
فاق,فَاقَ,0
قاف,قَافَ,1
عاد,عَادَ,0
مال,مَالَ,1
صام,صَامَ,0
شاص,شَاصَ,0
لاع,لَاعَ,0
راش,رَاشَ,0
صال,صَالَ,0
شال,شَالَ,1
صار,صَارَ,0
زاغ,زَاغَ,1
جاع,جَاعَ,0
زاغ,زَاغَ,1
شاظ,شَاظَ,0
حار,حَارَ,0
طاق,طَاقَ,1
ضاع,ضَاعَ,0
صاخ,صَاخَ,0
صات,صَاتَ,1
لاك,لَاكَ,0
شاك,شَاكَ,0
طال,طَالَ,0
خار,خَارَ,0
حال,حَالَ,1
كان,كَانَ,0
قاض,قَاضَ,0
داه,دَاهَ,0
جاد,جَادَ,0
خاض,خَاضَ,0
جاح,جَاحَ,0
جاد,جَادَ,0
باح,بَاحَ,0
ناع,نَاعَ,0
عاذ,عَاذَ,0
لاف,لَافَ,0
جال,جَالَ,0
عام,عَامَ,0
عار,عَارَ,0
عاض,عَاضَ,0
قاس,قَاسَ,0
عال,عَالَ,0
غاص,غَاصَ,0
عاق,عَاقَ,0
قاق,قَاقَ,1
فاه,فَاهَ,1
فاق,فَاقَ,0
ذاق,ذَاقَ,0
لاذ,لَاذَ,0
قاد,قَادَ,0
راغ,رَاغَ,0
غار,غَارَ,1
ماج,مَاجَ,0
لام,لَامَ,1
قام,قَامَ,0
شار,شَارَ,0
مات,مَاتَ,0
مار,مَارَ,0
لاج,لَاجَ,0
ماس,مَاسَ,0
ماه,مَاهَ,0
قار,قَارَ,0
ناح,نَاحَ,0
ناش,نَاشَ,0
قاع,قَاعَ,1
ثار,ثَارَ,0
حاك,حَاكَ,0
باس,بَاسَ,0
صان,صَانَ,0
سام,سَامَ,0
طاد,طَادَ,0
ضار,ضَارَ,0
جار,جَارَ,0
داف,دَافَ,0
شاع,شَاعَ,0
شاق,شَاقَ,0
نار,نَارَ,1
راج,رَاجَ,0
شاف,شَافَ,0
بال,بَالَ,0
غاث,غَاثَ,0
لات,لَاتَ,1
حاز,حَازَ,0
هار,هَارَ,0
هان,هَانَ,0
هاش,هَاشَ,0
ناه,نَاهَ,0
عاد,عَادَ,0
ساط,سَاطَ,0
لاه,لَاهَ,0
هاد,هَادَ,0
ناف,نَافَ,0
ناض,نَاضَ,0
تاب,تَابَ,0
ماص,مَاصَ,0
صاب,صَابَ,0
زاج,زَاجَ,0
مات,مَاتَ,0
راس,رَاسَ,0
ذاد,ذَادَ,0
نام,نَامَ,0
صاغ,صَاغَ,0
ساق,سَاقَ,0
راح,رَاحَ,0
غار,غَارَ,1
طاح,طَاحَ,0
هال,هَالَ,1
ساغ,سَاغَ,0
راب,رَابَ,0
لاط,لَاطَ,0
ناب,نَابَ,0
ساد,سَادَ,0
جام,جَامَ,1
طار,طَارَ,1
راع,رَاعَ,0
فاز,فَازَ,0
فار,فَارَ,0
حار,حَارَ,0
شاب,شَابَ,0
راث,رَاثَ,0
لاح,لَاحَ,0
ناس,نَاسَ,1
عاج,عَاجَ,1
ناط,نَاطَ,0
حاك,حَاكَ,0
طاف,طَافَ,0
غار,غَارَ,1
راح,رَاحَ,0
خاف,خَافَ,0
داد,دَادَ,0
خال,خَالَ,0
راح,رَاحَ,0
حار,حَارَ,0
نام,نَامَ,0
ساس,سَاسَ,0
شاك,شَاكَ,0
نام,نَامَ,0
راح,رَاحَ,0
هاب,هَابَ,0
أضاع,أَضَاعَ,0
أعال,أَعَالَ,0
أفاض,أَفَاضَ,0
أخاف,أَخَافَ,0
أراح,أَرَاحَ,0
أراق,أَرَاقَ,0
أبان,أَبَانَ,0
أصاب,أَصَابَ,0
أشاد,أَشَادَ,0
أماط,أَمَاطَ,0
أذاب,أَذَابَ,0
أنام,أَنَامَ,0
أشاح,أَشَاحَ,0
أفاد,أَفَادَ,0
أطال,أَطَالَ,0
أجاع,أَجَاعَ,0
أجار,أَجَارَ,0
أحار,أَحَارَ,0
أساغ,أَسَاغَ,0
أدار,أَدَارَ,0
ألام,أَلَامَ,0
أزال,أَزَالَ,0
أبات,أَبَاتَ,0
أنار,أَنَارَ,0
ألاذ,أَلَاذَ,0
أطاع,أَطَاعَ,0
أذاق,أَذَاقَ,0
أفاخ,أَفَاخَ,0
أراد,أَرَادَ,0
أجاز,أَجَازَ,0
ألان,أَلَانَ,0
أعاش,أَعَاشَ,0
أشاع,أَشَاعَ,0
أقام,أَقَامَ,0
أصات,أَصَاتَ,0
أتاح,أَتَاحَ,0
أمال,أَمَالَ,0
أهاب,أَهَابَ,0
أراث,أَرَاثَ,0
أعار,أَعَارَ,0
أباح,أَبَاحَ,0
أزاغ,أَزَاغَ,0
أجال,أَجَالَ,0
أراب,أَرَابَ,0
أدان,أَدَانَ,0
أدام,أَدَامَ,0
أثار,أَثَارَ,0
أشار,أَشَارَ,0
أخال,أَخَالَ,0
